VALUE,long,lat
611.00000000,32.750,51.083
608.00000000,32.917,51.083
609.00000000,33.083,51.083
609.00000000,33.250,51.083
611.00000000,33.417,51.083
613.00000000,33.583,51.083
614.00000000,33.750,51.083
614.00000000,33.917,51.083
615.00000000,34.083,51.083
611.00000000,34.250,51.083
612.00000000,34.417,51.083
613.00000000,34.583,51.083
620.00000000,34.750,51.083
622.00000000,34.917,51.083
621.00000000,35.083,51.083
618.00000000,35.250,51.083
624.00000000,35.417,51.083
625.00000000,35.583,51.083
588.00000000,23.750,50.917
596.00000000,23.917,50.917
604.00000000,24.083,50.917
615.00000000,24.250,50.917
616.00000000,24.417,50.917
613.00000000,24.583,50.917
608.00000000,24.750,50.917
602.00000000,24.917,50.917
603.00000000,25.083,50.917
595.00000000,25.250,50.917
590.00000000,25.417,50.917
592.00000000,25.583,50.917
591.00000000,25.750,50.917
594.00000000,25.917,50.917
597.00000000,26.083,50.917
601.00000000,26.250,50.917
610.00000000,26.417,50.917
618.00000000,26.583,50.917
627.00000000,26.750,50.917
634.00000000,26.917,50.917
642.00000000,27.083,50.917
649.00000000,27.250,50.917
652.00000000,27.417,50.917
650.00000000,27.583,50.917
644.00000000,27.750,50.917
641.00000000,27.917,50.917
638.00000000,28.083,50.917
633.00000000,28.250,50.917
629.00000000,28.417,50.917
623.00000000,28.583,50.917
623.00000000,28.750,50.917
631.00000000,28.917,50.917
639.00000000,29.083,50.917
641.00000000,29.250,50.917
644.00000000,29.417,50.917
638.00000000,29.583,50.917
630.00000000,29.750,50.917
619.00000000,29.917,50.917
611.00000000,30.083,50.917
607.00000000,30.250,50.917
595.00000000,30.417,50.917
588.00000000,30.583,50.917
599.00000000,30.750,50.917
598.00000000,30.917,50.917
593.00000000,31.083,50.917
588.00000000,31.250,50.917
590.00000000,31.417,50.917
596.00000000,31.583,50.917
599.00000000,31.750,50.917
603.00000000,31.917,50.917
608.00000000,32.083,50.917
612.00000000,32.250,50.917
607.00000000,32.417,50.917
608.00000000,32.583,50.917
607.00000000,32.750,50.917
607.00000000,32.917,50.917
606.00000000,33.083,50.917
608.00000000,33.250,50.917
614.00000000,33.417,50.917
615.00000000,33.583,50.917
617.00000000,33.750,50.917
615.00000000,33.917,50.917
