VALUE,long,lat
6.59739590,27.250,51.0833333333333
6.40526056,27.417,51.0833333333333
6.28393745,27.583,51.0833333333333
6.16246891,27.750,51.0833333333333
6.17719793,27.917,51.0833333333333
6.24996853,28.083,51.0833333333333
6.34216642,28.250,51.0833333333333
6.42810392,28.417,51.0833333333333
6.52734375,28.583,51.0833333333333
6.69636440,28.750,51.0833333333333
6.73987484,28.917,51.0833333333333
6.72557306,29.083,51.0833333333333
6.73243761,29.250,51.0833333333333
6.71569777,29.417,51.0833333333333
6.79709387,29.583,51.0833333333333
6.93004179,29.750,51.0833333333333
7.05042696,29.917,51.0833333333333
7.22519779,30.083,51.0833333333333
7.34383345,30.250,51.0833333333333
7.44013548,30.417,51.0833333333333
7.33309364,30.583,51.0833333333333
7.27537489,30.750,51.0833333333333
7.20763540,30.917,51.0833333333333
7.13222933,31.083,51.0833333333333
7.06789589,31.250,51.0833333333333
7.00451040,31.417,51.0833333333333
6.93575001,31.583,51.0833333333333
6.84958315,31.750,51.0833333333333
6.91283321,31.917,51.0833333333333
6.82556248,32.083,51.0833333333333
6.79510450,32.250,51.0833333333333
6.76685429,32.417,51.0833333333333
6.74479151,32.583,51.0833333333333
6.72766685,32.750,51.0833333333333
6.74244785,32.917,51.0833333333333
6.73766661,33.083,51.0833333333333
6.69878149,33.250,51.0833333333333
6.67876053,33.417,51.0833333333333
6.65312481,33.583,51.0833333333333
6.66768742,33.750,51.0833333333333
6.68458319,33.917,51.0833333333333
6.59643745,34.083,51.0833333333333
6.66977072,34.250,51.0833333333333
6.66608334,34.417,51.0833333333333
6.59955215,34.583,51.0833333333333
6.54403114,34.750,51.0833333333333
6.41264582,34.917,51.0833333333333
6.41690636,35.083,51.0833333333333
6.48429155,35.250,51.0833333333333
6.44400024,35.417,51.0833333333333
6.43882275,35.583,51.0833333333333
7.27965593,23.750,50.9166666666667
7.32250023,23.917,50.9166666666667
7.41048956,24.083,50.9166666666667
7.45801020,24.250,50.9166666666667
7.43473959,24.417,50.9166666666667
7.31922913,24.583,50.9166666666667
7.37285423,24.750,50.9166666666667
7.46487474,24.917,50.9166666666667
7.55541658,25.083,50.9166666666667
7.69412470,25.250,50.9166666666667
7.75090599,25.417,50.9166666666667
7.72420835,25.583,50.9166666666667
