temp,long,lat,prec,acceptable,occur
7.05887508,31.58,50.75,584,FALSE,0
7.04206228,31.75,50.75,585,FALSE,0
7.00941658,31.92,50.75,591,FALSE,0
6.97511482,32.08,50.75,597,FALSE,0
6.86486483,32.25,50.75,605,FALSE,0
6.77905226,32.42,50.75,608,FALSE,0
6.86929178,32.58,50.75,607,FALSE,0
6.83259392,32.75,50.75,605,FALSE,0
6.81543732,32.92,50.75,602,FALSE,0
6.83151054,33.08,50.75,603,FALSE,0
6.77163553,33.25,50.75,605,FALSE,0
6.81021881,33.42,50.75,609,FALSE,0
6.83682299,33.58,50.75,609,FALSE,0
6.7919898,33.75,50.75,613,FALSE,0
6.75935411,33.92,50.75,611,FALSE,0
6.70171881,34.08,50.75,608,FALSE,0
6.65740633,34.25,50.75,606,FALSE,0
6.62410402,34.42,50.75,603,FALSE,0
6.5850935,34.58,50.75,599,FALSE,0
6.72686481,34.75,50.75,595,FALSE,0
6.61951017,34.92,50.75,601,FALSE,0
6.47885418,35.08,50.75,606,FALSE,0
6.41589594,35.25,50.75,611,FALSE,0
6.33242702,35.42,50.75,614,FALSE,0
6.44588566,35.58,50.75,615,FALSE,0
7.20181227,23.75,50.58,618,FALSE,0
7.18929148,23.92,50.58,624,FALSE,0
7.31096888,24.08,50.58,630,FALSE,0
7.42010403,24.25,50.58,636,FALSE,0
7.33685398,24.42,50.58,638,FALSE,0
7.27660418,24.58,50.58,635,FALSE,0
7.24114609,24.75,50.58,633,FALSE,0
7.26948977,24.92,50.58,626,FALSE,0
7.36971855,25.08,50.58,619,FALSE,0
7.53658342,25.25,50.58,607,FALSE,0
7.69673967,25.42,50.58,593,FALSE,0
